127.0.0.1 - - [18/Oct/2024:15:28:08 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Oct/2024:15:28:12 +0530] "GET /CookieInServlet/ HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [18/Oct/2024:15:28:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Oct/2024:15:28:23 +0530] "GET /CookieInServlet/?user=hello&pass=12345 HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [18/Oct/2024:15:28:36 +0530] "GET /CookieInServlet/?user=hello&pass=12345 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:15:29:15 +0530] "GET /CookieInServlet/?user=hello&pass=12345 HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [18/Oct/2024:15:30:05 +0530] "GET /CookieInServlet/?user=hello&pass=12345 HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [18/Oct/2024:15:30:06 +0530] "GET /CookieInServlet/?user=hello&pass=12345 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:15:30:06 +0530] "GET /CookieInServlet/?user=hello&pass=12345 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:15:30:06 +0530] "GET /CookieInServlet/?user=hello&pass=12345 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:15:30:07 +0530] "GET /CookieInServlet/?user=hello&pass=12345 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:15:30:15 +0530] "GET /CookieInServlet/first?user=hello&pass=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:15:30:15 +0530] "GET /CookieInServlet/second HTTP/1.1" 200 57
